Date,S&P500 $,Vix $,Gold Price $,Crude Oil Price $,Gas $
2.12.19,3113.870117,14.91,1462.300049,55.959999,2.329
3.12.19,3093.199951,15.96,1478.199951,56.099998,2.441
4.12.19,3112.76001,14.8,1474,58.43,2.399
5.12.19,3117.429932,14.52,1476.900024,58.43,2.427
6.12.19,3145.909912,13.62,1459.099976,59.200001,2.334
8.12.19,null,null,null,null,null
9.12.19,3135.959961,15.86,1459.300049,59.02,2.232
10.12.19,3132.52002,15.68,1462.599976,59.240002,2.264
11.12.19,3141.629883,14.99,1469.400024,58.759998,2.243
12.12.19,3168.570068,13.94,1466.699951,59.18,2.328
13.12.19,3168.800049,12.63,1475.599976,60.07,2.296
15.12.19,null,null,null,null,null
16.12.19,3191.449951,12.14,1475,60.209999,2.341
17.12.19,3192.52002,12.29,1474.599976,60.939999,2.319
18.12.19,3191.139893,12.58,1472.599976,60.93,2.286
19.12.19,3205.370117,12.5,1478.199951,61.220001,2.273
20.12.19,3221.219971,12.51,1474.699951,60.439999,2.328
22.12.19,null,null,null,null,null
23.12.19,3224.01001,12.61,1482.5,60.52,2.214
24.12.19,3223.379883,12.67,null,null,null
26.12.19,3239.909912,12.65,1509.300049,61.68,2.294
27.12.19,3240.02002,13.43,1513.800049,61.720001,2.158
29.12.19,null,null,null,null,null
30.12.19,3221.290039,14.82,1514.5,61.68,2.186
31.12.19,3230.780029,13.78,1519.5,61.060001,2.189
2.1.20,3257.850098,12.47,1524.5,61.18,2.122
3.1.20,3234.850098,14.02,1549.199951,63.049999,2.13
5.1.20,null,null,1571.300049,null,null
6.1.20,3246.280029,13.85,1566.199951,63.27,2.135
7.1.20,3237.179932,13.79,1571.800049,62.700001,2.162
8.1.20,3253.050049,13.45,1557.400024,59.610001,2.141
9.1.20,3274.699951,12.54,1551.699951,59.560001,2.166
10.1.20,3265.350098,12.56,1557.5,59.040001,2.202
12.1.20,null,null,1559.900024,null,null
13.1.20,3288.129883,12.32,1548.400024,58.080002,2.182
14.1.20,3283.149902,12.39,1542.400024,58.23,2.187
15.1.20,3289.290039,12.42,1552.099976,57.810001,2.12
16.1.20,3316.810059,12.32,1549,58.52,2.077
17.1.20,3329.620117,12.1,1558.800049,58.540001,2.003
19.1.20,null,null,1557.300049,null,null
21.1.20,3320.790039,12.85,1556.400024,58.34,1.895
22.1.20,3321.75,12.91,1555.300049,56.740002,1.905
23.1.20,3325.540039,12.98,1564.599976,55.59,1.926
24.1.20,3295.469971,14.56,1571.099976,54.189999,1.893
26.1.20,null,null,1582.300049,52.639999,null
27.1.20,3243.629883,18.23,1576.800049,53.139999,1.902
28.1.20,3276.23999,16.280001,1569.199951,53.48,1.934
29.1.20,3273.399902,16.389999,1569.800049,53.330002,1.877
30.1.20,3283.659912,15.49,1583.5,52.139999,1.829
31.1.20,3225.52002,18.84,1582.900024,51.560001,1.841
2.2.20,null,null,1593.5,51.009998,1.862
3.2.20,3248.919922,17.969999,1577.199951,50.110001,1.819
4.2.20,3297.590088,16.049999,1550.400024,49.610001,1.872
5.2.20,3334.689941,15.15,1557.800049,50.75,1.861
6.2.20,3345.780029,14.96,1565.099976,50.950001,1.862
7.2.20,3327.709961,15.47,1568.599976,50.32,1.858
9.2.20,null,null,1577.300049,49.759998,1.791
10.2.20,3352.090088,15.04,1574.699951,49.57,1.766
11.2.20,3357.75,15.18,1565.599976,49.939999,1.788
12.2.20,3379.449951,13.74,1567.400024,51.169998,1.844
13.2.20,3373.939941,14.15,1575.099976,51.419998,1.826
14.2.20,3380.159912,13.68,1582.699951,52.049999,1.837
16.2.20,null,null,1585.800049,52.18,1.893
18.2.20,3370.290039,14.83,1600,52.049999,1.981
19.2.20,3386.149902,14.38,1607.5,53.290001,1.955
20.2.20,3373.22998,15.56,1616.599976,53.779999,1.92
21.2.20,3337.75,17.08,1644.599976,53.380001,1.905
23.2.20,null,null,1667.5,52.080002,1.878
24.2.20,3225.889893,25.030001,1672.400024,51.43,1.827
25.2.20,3128.209961,27.85,1646.900024,49.900002,1.847
26.2.20,3116.389893,27.559999,1640,48.73,1.821
27.2.20,2978.76001,39.16,1640,47.09,1.752
28.2.20,2954.219971,40.110001,1564.099976,44.759998,1.684
1.3.20,null,null,null,44.57,1.69
2.3.20,3090.22998,33.419998,1592.300049,46.75,1.756
3.3.20,3003.370117,36.82,1642.099976,47.18,1.8
4.3.20,3130.120117,31.99,1641.099976,46.779999,1.827
5.3.20,3023.939941,39.619999,1666.400024,45.900002,1.772
6.3.20,2972.370117,41.939999,1670.800049,41.279999,1.708
8.3.20,null,null,null,32.540001,1.652
9.3.20,2746.560059,54.459999,1674.5,31.129999,1.778
10.3.20,2882.22998,47.299999,1659.099976,34.360001,1.936
11.3.20,2741.379883,53.900002,1641.400024,32.98,1.878
12.3.20,2480.639893,75.470001,1589.300049,31.5,1.841
13.3.20,2711.02002,57.830002,1515.699951,31.73,1.869
15.3.20,null,null,null,30.41,1.811
16.3.20,2386.129883,82.690002,1485.900024,28.700001,1.815
17.3.20,2529.189941,75.910004,1524.900024,26.950001,1.729
18.3.20,2398.100098,76.449997,1477.300049,20.370001,1.604
19.3.20,2409.389893,72,1478.599976,25.219999,1.654
20.3.20,2304.919922,66.040001,1484,22.43,1.604
22.3.20,null,null,1495.599976,21.540001,1.537
23.3.20,2237.399902,61.59,1567,23.360001,1.602
24.3.20,2447.330078,61.669998,1660.199951,24.01,1.653
25.3.20,2475.560059,63.950001,1632.300049,24.49,1.659
